Accuracy,BPM,Difficulty,Length,Title
7.5,142.0,4.29710149765,29,Harumachi Clover
8.0,178.0,5.074261665342856,309,S.A.T.O.R.A.R.E
8.0,140.0,4.5526099205,262,Shadows ~Kage Iro Yousei Ehon~
8.7,169.0,5.780872821807142,153,Loose Change
6.0,70.0,3.6007540225999994,306,After rain
6.5,148.0,2.344674825671428,65,Byakumu no Mayu ~Ricordando il passato~
6.0,125.0,2.9785962104785715,231,iNSaNiTY
8.6,175.0,5.410302639007143,224,Sparkling Daydream
8.5,153.0,4.341358661649999,81,Alola!!
7.0,125.0,3.1649801731142855,64,Champion Energy 2.5mins 062017
7.0,74.0,3.8317480087285714,318,Weight of the World Kowaretasekainouta
9.0,181.0,6.3740639686571425,138,Savior
8.5,175.0,5.300717353821428,322,Lost Forever
9.0,191.0,6.118328094485714,277,Tsukitourou
8.0,180.0,4.338859558107143,82,Phronesis
8.0,170.0,4.864024162292857,305,Luvin'Epoch
8.5,165.0,4.9572181701642855,85,Kimi no Shiranai Monogatari -TV Edit-
7.0,90.0,3.8642218112928566,74,Pipo Password
8.5,200.0,5.472526550292857,89,Peace Sign (TV edit.)
7.5,120.0,3.0601785182928567,69,Generic Happy Music
8.5,160.0,5.109880924221429,86,Shinzou o Sasageyo! [TV Size]
6.0,180.0,3.0037047862999997,69,MUZYKA NE MUZYKANTA (feat. Snailkick)
8.0,142.0,4.389966964721428,87,Kanashii Ureshii
9.0,180.0,5.996620655057143,126,Get Jinxed
8.5,240.0,6.201254844664286,88,Los! Los! Los!
8.0,155.0,4.619791030885715,109,Believe
8.2,160.0,4.876677036285714,138,Magnolia (feat. Guriri)
7.5,110.0,3.2151803970357142,187,Bo jestes ty
8.2,93.14,4.286512374878571,79,duvet TV sized
9.0,180.0,5.276397705078572,236,petit bonheur
9.6,250.0,7.423302173642856,92,"Daisuki, Evolution"
